,id,segment_id,title,caption_segment,sentiment
0,#NAME?,#NAME?,LIVE l PM Stresses On Zero Tolerance To Terrorism l OTV,freedom and civilization it knows no boundaries only a uniform unified and g-load tolerance approach can defeat terrorism friends fighting a terrorists and fighting the terrorism are to different things are terrorists may be neutralize with weapons immediately,1
1,lpYVmd8a1rY,lpYVmd8a1rY_1,Reading park stabbings: UK Labour leader reacts to &#39;terrorist incident&#39; which killed 3,well this was just a horrific incident and our thoughts now hearts go out to all those affected particularly the family and friends of those who tragically died I think across reading across the country people are united in their grief at this incident well it's horrific that it happened at all wherever it happened and the will you know across reading across the country will be communities really really upset and worried about this United in their grief and all of our thoughts are with those that have had lost someone in this it's very important that the investigation,1
2,lpYVmd8a1rY,lpYVmd8a1rY_2,Reading park stabbings: UK Labour leader reacts to &#39;terrorist incident&#39; which killed 3,runs its course but I will want to work with the government in response to this to look at whether those lessons that can be learned where there need to be changes to the law but I think as a constructive opposition I will want to speak to the prime minister to discuss how together we can improve the response learn from this the investigation must be completed but of course this is not a time for party politics well we'll have to look at that and I want to talk to the Prime Minister about it Burks at the,-1
3,lpYVmd8a1rY,lpYVmd8a1rY_3,Reading park stabbings: UK Labour leader reacts to &#39;terrorist incident&#39; which killed 3,moment investigation has to take its course but I think it's incumbent on all of us to pull together and respond to this on a cross-party basis I will want to speak to the Prime Minister about this to offer my constructive support for any proposals that the government might bring forward this is not a time for party politics this is a time to recognize the grief of those that have lost loved ones the grief of reading and the nation and to pull together my message to them is that we understand we feel the grief we thank,1
4,lpYVmd8a1rY,lpYVmd8a1rY_4,Reading park stabbings: UK Labour leader reacts to &#39;terrorist incident&#39; which killed 3,our responders the NHS and the police yet again what we see is is the horror of this incident and against it the heroism if you like of those that respond to it but our hearts and thoughts are with the families and friends in particular the communities across reading and I'm sure I'm speaking on behalf the whole country when I say that yep good,-1
5,qOl5ox674vk,qOl5ox674vk_1,JUST IN: DECLARE NSCN-IM AS TERRORIST OUTFIT: MANIPUR CSOs on Impact News   29 Sept 2021,[Music] hello and welcome to impact news this is joyce wisham and you are watching impact justin 16 civil bodies of manipur have demanded both centre and state governments to declare an asean im an outfit allegedly involved in the brutal murder of atwan abond may as a terrorist outfit the 16 civil bodies have also demanded to declare the two suspects who were produced before the court yesterday as nscn i am cuddles protest meet was staged at kesham part lima jamlakai community hall today condemning the brutal murder of atuan abunmi representing the civil bodies president of national,1
6,qOl5ox674vk,qOl5ox674vk_2,JUST IN: DECLARE NSCN-IM AS TERRORIST OUTFIT: MANIPUR CSOs on Impact News   29 Sept 2021,identity protection council t.h manihar said that the two suspects were clearly mentioned as cuddles of nscnim in an order issued by taming long sp office he asked the government why it fails to declare them as members of the prescribed outfit he further asked if there was any hidden agenda for not wanting to declare both of them as nsc and imcadas the nipco prison also demanded to book other culprits stating that the gruesome murder could not have been carried out by just two individuals he demanded not to make any namesake arrest to calm down people's movement,1
7,qOl5ox674vk,qOl5ox674vk_3,JUST IN: DECLARE NSCN-IM AS TERRORIST OUTFIT: MANIPUR CSOs on Impact News   29 Sept 2021,but to book the demanding unconditional release of the accused luncheon paul bosko on may they said bosco is not involved in the killing of atwan abomine watch out for more news and events on impact justine for now this is joyce wisham signing off have a great afternoon and stay safe [Music] [Music],1
8,1kaR3I2M0es,1kaR3I2M0es_1,Russian Imperial Movement designated as terrorist org by State Dept,today the State Department is designating the Russian Imperial movement also known as rim as especially designated global terrorist or SD GT we're also designating three of rims leaders stanislav anatolyevich vorobyov denis valya lovak gary EV & nikolay nikolayevich Trucial of these designations are unprecedented this is the first time the United States has ever designated white supremacist terrorists illustrating how seriously this administration takes the threat we are taking actions no previous administration has ever taken to counter this threat overseas rim is a terrorist group that provides paramilitary style training to neo-nazis and white supremacists and it,1
9,1kaR3I2M0es,1kaR3I2M0es_2,Russian Imperial Movement designated as terrorist org by State Dept,plays a prominent role in trying to rally like-minded Europeans and Americans into a common front against their perceived enemies rim has two training facilities in st. Petersburg which likely are being used for woodland and urban assault tactical weapons and hand-to-hand combat training this group has innocent blood on its hands in August of 2016 two Swedish men traveled to st. Petersburg and underwent 11 days of paramilitary style training provided by rim a few months later these men and another person conducted a series of terrorist attacks in the Swedish city of Gothenburg in November of 2016 they,1
10,1kaR3I2M0es,1kaR3I2M0es_3,Russian Imperial Movement designated as terrorist org by State Dept,detonated a bomb outside a cafe two months later they bombed a migrant center gravely injuring one person in three weeks after that they placed another bomb at a campsite used to house refugees thankfully that device failed to detonate Swedish authorities were able to arrest the attackers and they've now been tried and convicted for their crimes the prosecutor who handled their case blamed rim for radicalizing them and for providing them the training that enabled the attacks these historic designations are just one part of the Trump administration's broader efforts to count to counter whiter white supremacist terrorism,1
11,1kaR3I2M0es,1kaR3I2M0es_4,Russian Imperial Movement designated as terrorist org by State Dept,abroad we're bringing all of our counterterrorism tools to this fight information sharing counter-messaging combatting terrorist travel engaging with tech companies and building partner capacity to protect soft targets like synagogues and mosques today's actions are possible because of an order president Trump signed in September of last year the most significant expansion of federal terrorism sanctions authorities since the aftermath of 9/11 thanks to this order the State Department now has the authority to designate groups and individuals that participate in training to commit acts of terrorism we can also designate the leaders of terrorist groups without needing to,1
12,1kaR3I2M0es,1kaR3I2M0es_5,Russian Imperial Movement designated as terrorist org by State Dept,show that they were involved in particular attacks and let me be clear today's designations send an unmistakable message that the United States will not hesitate to use our sanctions authorities aggressively and that we were prepared to target any foreign terrorist group regardless of ideologies that threatens our citizens our interests abroad or our allies thank you thank you very much for coming in yeah you're gonna jump on the car test or you got it thank you sir,-1
13,z9NqnZ047PA,z9NqnZ047PA_1,Police give update on London Bridge incident | USA TODAY,a male suspect was shot by specialist officers from the City of London place and I can confirm that this suspect died at the scene a number of other people received injuries during this incident as soon as we can provide further updates on their condition we will and our heartfelt sympathies go out to everybody who's been involved in this and is anxiously waiting for information on their loved ones as soon as we can get that information we will get it to you as you would expect due to the nature of the incident we responded as though,1
14,z9NqnZ047PA,z9NqnZ047PA_2,Police give update on London Bridge incident | USA TODAY,this was terrorist related I'm now in a position to confirm that it has been declared a terrorist incident we are working jointly with the city of London police as we continue to respond officers from the Metz counterterrorism command are now leading this investigation but I must stress we retain an open mind as to any motive it would be inappropriate to speculate further at this time due to reports that the suspect may have had an explosive device specialist officers also attended the same and wide problems are in place to ensure there remains no further danger to,1
